Fecha,Casos nuevos con sintomas,Casos totales,Casos recuperados,Fallecidos,Casos activos,Casos nuevos sin sintomas,Casos nuevos totales,Casos activos por FD,Casos activos por FIS,Casos recuperados por FIS,Casos recuperados por FD,Casos confirmados recuperados,Casos activos confirmados,Casos probables acumulados,Casos activos probables,Casos nuevos sin notificar,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos nuevos confirmados por antigeno
13/04/2020,312,7525,2367,82,429,,312,5076,,,2367,,,,,,,,
14/04/2020,392,7917,2646,92,531,,392,5179,,,2646,,,,,,,,
15/04/2020,356,8273,2937,94,623,,356,5242,,,2937,,,,,,,,
16/04/2020,534,8807,3299,105,734,,534,5403,,,3299,,,,,,,,
17/04/2020,445,9252,3621,116,903,,445,5515,,,3621,,,,,,,,
18/04/2020,478,9730,4035,126,1117,,478,5569,,,4035,,,,,,,,
19/04/2020,358,10088,4338,133,1269,,358,5617,,,4338,,,,,,,,
20/04/2020,419,10507,4676,139,1562,,419,5692,,,4676,,,,,,,,
21/04/2020,325,10832,4969,147,1842,,325,5716,,,4969,,,,,,,,
22/04/2020,464,11296,5386,160,2057,,464,5750,,,5386,,,,,,,,
23/04/2020,516,11812,5804,168,2285,,516,5840,,,5804,,,,,,,,
24/04/2020,494,12306,6327,174,2525,,494,5805,,,6327,,,,,,,,
25/04/2020,552,12858,6746,181,2781,,552,5931,,,6746,,,,,,,,
26/04/2020,473,13331,7024,189,3051,,473,6118,,,7024,,,,,,,,
27/04/2020,482,13813,7327,198,3288,,482,6288,,,7327,,,,,,,,
28/04/2020,552,14365,7710,207,3606,,552,6448,,,7710,,,,,,,,
29/04/2020,520,15135,8057,216,3820,250,770,6862,,,8057,,,,,,,,
30/04/2020,780,16023,8580,227,4050,108,888,7216,,,8580,,,,,,,,
01/05/2020,882,17008,9018,234,4175,103,985,7756,,,9018,,,,,,,,
02/05/2020,1246,18435,9572,247,4383,181,1427,8616,,,9572,,,,,,,,
03/05/2020,1112,19663,10041,260,4641,116,1228,9362,,,10041,,,,,,,,
04/05/2020,876,20643,10415,270,4865,104,980,9958,,,10415,,,,,,,,
05/05/2020,1317,22016,10710,275,4990,56,1373,11031,,,10710,,,,,,,,
06/05/2020,893,23048,11189,281,5074,139,1032,11578,,,11189,,,,,,,,
07/05/2020,1343,24581,11664,285,5076,190,1533,12632,,,11664,,,,,,,,
08/05/2020,1183,25972,12160,294,5379,208,1391,13518,,,12160,,,,,,,,
09/05/2020,1004,27219,12667,304,5542,243,1247,14248,,,12667,,,,,,,,
10/05/2020,1406,28866,13112,312,5703,241,1647,15442,,,13112,,,,,,,,
11/05/2020,975,30063,13605,323,6015,222,1197,16135,,,13605,,,,,,,,
12/05/2020,1479,31721,14125,335,6456,179,1658,17261,,,14125,,,,,,,,
13/05/2020,2152,34381,14865,346,6817,508,2660,19170,,,14865,,,,,,,,
14/05/2020,2301,37040,15655,368,7292,358,2659,21017,,,15655,,,,,,,,
15/05/2020,2112,39542,16614,394,7416,390,2502,22534,,,16614,,,,,,,,
16/05/2020,1573,41428,18014,421,7750,313,1886,22993,,,18014,,,,,,,,
17/05/2020,2024,43781,19213,450,7940,329,2353,24118,,,19213,,,,,,,,
18/05/2020,2018,46059,20165,478,8005,260,2278,25416,,,20165,,,,,,,,
19/05/2020,3099,49579,21507,509,8231,421,3520,27563,,,21507,,,,,,,,
20/05/2020,3647,53617,22504,544,8318,391,4038,30569,,,22504,,,,,,,,
21/05/2020,3538,57581,23992,589,8488,426,3964,33000,,,23992,,,,,,,,
22/05/2020,3863,61857,25342,630,8748,413,4276,31569,,,25342,,,,,,,,
23/05/2020,3237,65393,26546,673,8962,299,3536,33174,,,26546,,,,,,,,
24/05/2020,3343,69102,28148,718,9016,366,3709,34236,,,28148,,,,,,,,
25/05/2020,4428,73997,29302,761,9356,467,4895,36934,,,29302,,,,,,,,
26/05/2020,3618,77961,30915,806,9516,346,3964,46240,,,30915,,,,,,,,
27/05/2020,3956,82289,33540,841,9762,372,4328,47908,,,33540,,,,,,,,
28/05/2020,4128,86943,36115,890,9958,526,4654,49938,,,36115,,,,,,,,
29/05/2020,3355,90638,38598,944,11031,340,3695,51096,,,38598,,,,,,,,
30/05/2020,3736,94858,40431,997,11578,484,4220,53430,,,40431,,,,,,,,
31/05/2020,4437,99688,42727,1054,12632,393,4830,55907,,,42727,,,,,,,,
01/06/2020,5082,105159,44946,1113,13518,389,5471,59100,,,44946,,,,,,,,
02/06/2020,3206,108686,,1188,14248,321,3527,59107,,,48391,,,,,,,,
03/06/2020,4537,113628,,1275,15442,405,4942,60011,,,52342,,,,,,,,
04/06/2020,4172,118292,,1356,16135,492,4664,60711,,,56225,,,,,,,,
05/06/2020,3790,122499,,1448,17261,417,4207,60642,,,60409,,,,,,,,
06/06/2020,4888,127745,,1541,19170,358,5246,62352,,,63852,,,,,,,,
07/06/2020,5760,134150,,2190,21017,645,6405,65048,,,66912,,,,,,,,
08/06/2020,4237,138846,,2264,22534,459,4696,64849,,,71733,,,,,,,,
09/06/2020,3587,142759,,2283,22993,326,3913,64798,,,75678,,,,,,,,
10/06/2020,5226,148496,,2475,24118,511,5737,66207,,,79814,,,,,,,,
11/06/2020,5089,154092,,2648,25416,507,5596,67149,,,84295,,,,,,,,
12/06/2020,6217,160846,,2870,27563,537,6754,70208,,,87768,,,,,,,,
13/06/2020,5969,167355,,3101,29569,540,6509,72497,,,91757,,,,,,,,
14/06/2020,6368,174293,,3323,32000,570,6938,74605,,,96365,,,,,,,,
15/06/2020,4660,179436,,3362,33085,483,5143,74277,,,101797,,,,,,,,
16/06/2020,4498,184449,,3383,33685,515,5013,75763,,,105303,,,,,,,,
17/06/2020,4320,220628,,3615,33885,437,4757,75346,,,141667,,,,,,,,
18/06/2020,4060,225103,,3841,34174,383,4475,106811,,,114451,,,,,,,,
19/06/2020,5016,231393,,4093,33692,599,6290,108894,,,118406,,,,,,,,
20/06/2020,4564,236748,,4295,34592,418,5355,109003,,,123450,,,,,,,,
21/06/2020,4181,242355,,4479,35692,594,5607,108205,37307,200569,129671,200569,37307,21897,10482,,,,
22/06/2020,3710,246963,,4502,34834,399,4608,108117,37064,205397,134344,205397,37064,22307,10029,,,,
23/06/2020,3078,250767,,4505,35692,336,3804,108008,35692,210570,138254,210570,35692,24881,9403,,,,
24/06/2020,3020,254416,,4731,34592,264,3649,105920,34592,215093,143765,215093,34592,26184,9674,,,,
25/06/2020,3778,259064,,4903,34834,423,4648,104972,34834,219327,149189,219327,34834,27193,9646,,,,
26/06/2020,3422,263360,,5068,34861,413,4296,102514,34861,223431,155778,223431,34861,28133,9720,,,,
27/06/2020,3481,267766,,5347,34364,426,4406,100411,34364,228055,162008,228055,34364,29019,9659,,,,
28/06/2020,3396,271982,,5509,34263,402,4216,97689,34263,232210,168784,232210,34263,29733,9595,,,,
29/06/2020,3092,275999,,5575,34270,432,4017,96563,34270,236154,173861,236016,34270,30362,9320,,,,
30/06/2020,2690,279393,,5688,32476,338,3394,94944,32476,241229,178761,241229,32476,30582,8385,,,,
01/07/2020,2134,282043,,5753,33695,300,2650,61415,30847,245443,214875,245443,30847,30980,7806,,,,
02/07/2020,2042,284541,,5920,35374,230,2498,59438,29374,249247,219183,249247,29374,32013,7921,,,,
03/07/2020,2703,288089,,6051,33695,322,3548,56696,28695,253343,225342,253343,28695,32578,7543,,,,
04/07/2020,2951,291847,,6192,34210,371,3758,55099,28210,257445,230556,257445,28210,33933,7986,,,,
05/07/2020,2852,295532,,6308,31194,438,3685,53177,28194,261030,236047,261032,28194,34651,7785,,,,
06/07/2020,2354,298557,,6384,32364,404,3025,51594,27804,264369,240579,264371,27804,34901,7263,,,,
07/07/2020,1946,301019,,6434,34563,266,2462,50252,26340,268245,244333,268245,26340,35134,6536,,,,
08/07/2020,1638,303083,,6573,33270,265,2064,48667,24807,271703,247843,271703,24807,35905,6513,,,,
09/07/2020,2395,306216,,6682,32876,432,3133,47152,24612,274922,252382,274922,24612,36640,6518,,,,
10/07/2020,2392,309274,,6781,31847,460,3058,45914,24440,278053,256579,278053,24440,37400,6633,,,,
11/07/2020,2219,312029,,6881,32885,405,2755,44263,24008,281140,260885,280161,24008,38090,6609,,,,
12/07/2020,2371,315041,,6979,31985,389,3012,43059,24166,283896,265003,283902,24166,38724,6637,,,,
13/07/2020,1985,317657,,7024,31569,451,2616,41658,24077,286556,268975,286556,24077,39038,6321,,,,
14/07/2020,1444,319493,,7069,32000,244,1836,40100,23205,289219,272324,289220,23205,39219,5800,,,,
15/07/2020,1400,321205,,7186,33885,186,1712,39162,21934,292085,274857,292085,21934,39270,5601,,,,
16/07/2020,1949,323698,,7290,33174,367,2475,39157,21107,295301,277251,295301,21107,38833,5390,,,,
17/07/2020,2125,326539,,8347,33885,545,2840,38450,21378,296814,279742,296814,21378,40056,4922,,,,
18/07/2020,1624,328846,,8445,32174,373,2185,36999,20952,299449,283402,299449,20952,39477,4227,188,,,
19/07/2020,1615,330930,,8503,33885,359,2082,35398,20633,301794,287029,301794,20633,38695,3487,108,,,
20/07/2020,1599,333029,,8633,32476,340,2099,34472,20404,303992,289924,303992,20404,38294,2743,160,,,
21/07/2020,1342,334683,,8677,30847,230,1656,33664,19190,306816,292342,306816,19190,39828,2414,84,,,
22/07/2020,1391,336402,,8722,29374,238,1741,33319,18439,309241,294361,309241,18439,39568,1853,112,,,
23/07/2020,1841,338759,,8838,28695,379,2371,32543,18490,311431,297378,311431,18490,39282,1511,151,,,
24/07/2020,2005,341304,,8914,28210,373,2545,32030,18694,313696,300360,313696,18694,39930,1305,167,,,
25/07/2020,1752,343592,,9020,28194,399,2287,31563,18403,316169,303009,316169,18403,39757,1076,136,,,
26/07/2020,1620,345790,,9112,27804,449,2198,30749,18583,318095,305929,318095,18583,39686,887,129,,,
27/07/2020,1475,347923,,9187,26340,487,2133,30266,18782,319954,308470,319954,18782,39662,730,171,,,
28/07/2020,1236,349800,,9240,24807,462,1876,30307,18228,322332,310253,322332,18228,39625,640,178,,,
29/07/2020,1294,351575,,9278,24612,346,1773,30370,17740,324557,311927,324557,17740,39554,629,133,,,
30/07/2020,1428,353536,,9377,24440,388,1948,29838,17531,326628,314321,326628,17531,39523,616,132,,,
31/07/2020,1540,355667,,9457,24008,450,2123,29128,17883,328327,317082,328327,17883,39594,654,133,,,
01/08/2020,1426,357658,,9533,24166,440,1979,28812,17621,330504,319313,330507,17621,39616,645,113,,,
02/08/2020,1482,359731,,9608,24077,473,2081,28801,17712,332411,321322,332411,17712,39600,665,126,,,
03/08/2020,1119,361493,,9707,23205,527,1762,28464,17810,333976,323322,333976,17810,39649,622,116,,,
04/08/2020,1049,362962,,9745,21934,350,1462,28279,16887,336330,324938,336330,16887,39638,547,63,,,
05/08/2020,1216,364723,,9792,21107,482,1781,28321,16640,338291,326610,338291,16640,40683,1207,83,,,
06/08/2020,1383,366671,,9889,21378,403,1947,27912,16614,340168,328870,340168,16614,41400,1625,161,,,
07/08/2020,1479,368825,,9958,20952,570,2149,27521,16699,342168,331346,342168,16699,42049,2028,100,,,
08/08/2020,1511,371023,,10011,20633,604,2201,27431,16880,344132,333581,344133,16880,42506,2298,86,,,
